date,value,value_high,value_low,iso_code
2022-11-01,38092970,44383005,33045242,BGD
2022-11-02,38092970,44383005,33045242,BGD
2022-11-03,38071037,44383005,32960236,BGD
2022-11-04,38028236,44383005,32916205,BGD
2022-11-05,38092970,44383005,33045242,BGD
2022-11-06,38092970,44412775,33045242,BGD
2022-11-07,38106444,44412775,33045242,BGD
2022-11-08,38169491,44448156,33223347,BGD
2022-11-09,38389202,45059326,33306599,BGD
2022-11-10,38363827,45011231,33202473,BGD
2022-11-11,36788047,43049743,31591581,BGD
2022-11-12,36813628,43067971,31619288,BGD
2022-11-13,36846285,43117007,31619288,BGD
2022-11-14,36846285,43117007,31619288,BGD
2022-11-15,36846285,43117007,31619288,BGD
2022-11-16,36806164,42929105,31614061,BGD
2022-11-17,36806164,42929105,31614061,BGD
2022-11-18,36824888,43040925,31603323,BGD
2022-11-19,36868824,43087026,31631030,BGD
2022-11-20,36868824,43087026,31631030,BGD
2022-11-21,36415364,42361364,31054457,BGD
2022-11-22,36415364,42361364,31054457,BGD
2022-11-23,36415364,42361364,31054457,BGD
2022-11-24,36415364,42361364,31054457,BGD
2022-11-25,34952641,40702563,29840936,BGD
2022-11-26,34952641,40702563,29840936,BGD
2022-11-27,34952641,40702563,29840936,BGD
2022-11-28,34352694,39917992,29677037,BGD
2022-11-29,34352694,39917992,29677037,BGD
2022-11-30,34352694,39917992,29677037,BGD
2022-12-01,33266266,38551903,29198780,BGD
2022-12-02,33266266,38551903,29198780,BGD
2022-12-03,33453170,38926493,29156762,BGD
2022-12-04,33512256,38938675,29339202,BGD
2022-12-05,33454390,38938675,29310509,BGD
2022-12-06,34594927,40295752,30155947,BGD
2022-12-07,34548194,40295752,30155947,BGD
2022-12-08,34528419,40285475,30093625,BGD
2022-12-09,34528419,40285475,30093625,BGD
2022-12-10,34528419,40285475,30093625,BGD
2022-12-11,34216787,39979122,29850661,BGD
2022-12-12,34227884,39989399,29882702,BGD
2022-12-13,34255746,39989399,29810052,BGD
2022-12-14,34325139,40007627,29960121,BGD
2022-12-15,34359664,40033406,29989243,BGD
2022-12-16,34359664,40033406,29989243,BGD
2022-12-17,34359664,40033406,29989243,BGD
2022-12-18,34398149,40033406,30098430,BGD
2022-12-19,34398149,40033406,30098430,BGD
2022-12-20,34398149,40037395,30098430,BGD
2022-12-21,34775339,40454441,30604932,BGD
2022-12-22,34798985,40454441,30630313,BGD
2022-12-23,34775339,40454441,30604932,BGD
2022-12-24,34747458,40430146,30629378,BGD
2022-12-25,35039519,40540085,30729796,BGD
2022-12-26,34791735,40223366,30700821,BGD
2022-12-27,34778788,40264799,30606098,BGD
2022-12-28,34945802,40389037,30865957,BGD
2022-12-29,34945802,40389037,30865957,BGD
2022-12-30,34945802,40389037,30865957,BGD
2022-12-31,34971386,40411964,30895192,BGD
2023-01-01,34977764,39971978,30916297,BGD
2023-01-02,34958476,39971978,30907472,BGD
2023-01-03,34958476,39971978,30907472,BGD
2023-01-04,34804154,39584215,30799836,BGD
2023-01-05,34695521,40299040,30771793,BGD
2023-01-06,34695521,39600412,30763157,BGD
2023-01-07,34765770,40581628,30771793,BGD
2023-01-08,34765770,40628002,30771793,BGD
2023-01-09,34832511,40628002,30887997,BGD
2023-01-10,34856799,40628002,30887997,BGD
2023-01-11,34776809,40817461,30869150,BGD
2023-01-12,34776809,40817461,30869150,BGD
2023-01-13,34776809,40817461,30869150,BGD
2023-01-14,34776809,40817461,30869150,BGD
2023-01-15,34776809,40817461,30871255,BGD
2023-01-16,34776809,40916630,30884040,BGD
2023-01-17,34706962,40585213,30836710,BGD
2023-01-18,34706962,40585213,30836710,BGD
2023-01-19,34706962,40585213,30836710,BGD
2023-01-20,34706962,40585213,30836710,BGD
2023-01-21,34123933,40043562,30324958,BGD
2023-01-22,34154384,40187140,30319184,BGD
2023-01-23,34146012,39951706,30319184,BGD
2023-01-24,34071060,39091606,30285259,BGD
2023-01-25,34066685,39091606,30324085,BGD
2023-01-26,34066685,39091606,30324085,BGD
2023-01-27,34067692,39091606,30285259,BGD
2023-01-28,34066685,39038239,30324085,BGD
2023-01-29,34066685,39038239,30324085,BGD
2023-01-30,34061144,39038239,30324085,BGD
2023-01-31,34061144,39038239,30324085,BGD
2023-02-01,34207565,39111637,30445599,BGD
